model_key,category,question,composed_question,expected_answer,predicted_answer,retrieved_sources,generation_time_s,curso,codigo,error
qwen2.5-3b,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,5.76,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt,0.23,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,0.25,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.23,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.23,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.23,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Se permite el reconocimiento del curso?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿El examen final tiene un valor del 30%?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿El examen final tiene un valor del 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.23,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Es el curso de tipo electivo?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.23,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿Es la asistencia obligatoria?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.24,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿Se permite el reconocimiento de este curso?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento de este curso?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt,0.23,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿Existe la posibilidad de suficiencia?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,0.23,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿Se ubica el curso en el primer trimestre del plan de estudios?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se ubica el curso en el primer trimestre del plan de estudios?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,0.25,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿El estudio de casos vale un 40% de la calificación?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿El estudio de casos vale un 40% de la calificación?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1003-Seguridad y Criptografía.txt,0.23,Políticas y Gobernanza en Ciberseguridad,MC1006,
qwen2.5-3b,binary,¿Es un curso electivo?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt,0.23,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿Es obligatoria la asistencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt,0.26,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿Tiene requisitos previos?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Tiene requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,0.23,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿Es requisito para el curso de Seguridad en la Nube?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es requisito para el curso de Seguridad en la Nube?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt,0.24,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿Se permite la suficiencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt,0.22,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿El examen final vale el 30% de la nota?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿El examen final vale el 30% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.23,Seguridad de Software Avanzado,MC3001,
qwen2.5-3b,binary,¿Es el curso de tipo electivo?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.25,Cibercrimen,MC3010,
qwen2.5-3b,binary,¿Es obligatoria la asistencia?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.23,Cibercrimen,MC3010,
