model_key,category,question,composed_question,expected_answer,predicted_answer,generation_time_s,curso,codigo,error
qwen2.5-3b,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,4.73,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,2.29,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,2.27,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,2.24,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,2.22,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,2.24,Análisis de Datos en Ciberseguridad,MC1001,
qwen2.5-3b,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,No,2.22,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,2.22,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,2.26,Seguridad y Criptografía,MC1003,
qwen2.5-3b,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,No,2.24,Seguridad y Criptografía,MC1003,
