model_key,category,question,composed_question,expected_answer,predicted_answer,generation_time_s,curso,codigo,error
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.26,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,4.85,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,4.82,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,4.87,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,4.9,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,4.97,Análisis de Datos en Ciberseguridad,MC1001,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,4.97,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,Sí,5.03,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,5.05,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.07,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.09,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,¿El examen final tiene un valor del 30%?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿El examen final tiene un valor del 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.1,Seguridad y Criptografía,MC1003,
llama3.1-8b-4bit,binary,¿Es el curso de tipo electivo?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,5.03,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.05,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿Se permite el reconocimiento de este curso?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento de este curso?

Responde únicamente con 'Sí' o 'No'.",No,No,5.02,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.11,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿Se ubica el curso en el primer trimestre del plan de estudios?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se ubica el curso en el primer trimestre del plan de estudios?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.14,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿El estudio de casos vale un 40% de la calificación?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿El estudio de casos vale un 40% de la calificación?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.18,Políticas y Gobernanza en Ciberseguridad,MC1006,
llama3.1-8b-4bit,binary,¿Es un curso electivo?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,Sí,5.19,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿Es obligatoria la asistencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.18,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿Tiene requisitos previos?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Tiene requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,5.15,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿Es requisito para el curso de Seguridad en la Nube?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es requisito para el curso de Seguridad en la Nube?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.16,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿Se permite la suficiencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.15,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿El examen final vale el 30% de la nota?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿El examen final vale el 30% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.18,Seguridad de Software Avanzado,MC3001,
llama3.1-8b-4bit,binary,¿Es el curso de tipo electivo?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.2,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿Es obligatoria la asistencia?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.2,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿Tiene requisitos o correquisitos?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Tiene requisitos o correquisitos?

Responde únicamente con 'Sí' o 'No'.",No,No,5.17,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿Se permite la suficiencia para este curso?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Se permite la suficiencia para este curso?

Responde únicamente con 'Sí' o 'No'.",No,No,5.16,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de reconocimiento?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Existe la posibilidad de reconocimiento?

Responde únicamente con 'Sí' o 'No'.",No,Sí,5.16,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿La investigación social aplicada tiene un peso del 40%?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿La investigación social aplicada tiene un peso del 40%?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.17,Cibercrimen,MC3010,
llama3.1-8b-4bit,binary,¿Es un curso obligatorio?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.18,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿Tiene requisitos o correquisitos previos?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Tiene requisitos o correquisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,Sí,5.15,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.13,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.15,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,5.12,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿La investigación en sistema empresarial vale un 40%?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿La investigación en sistema empresarial vale un 40%?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.15,Sistemas Estratégicos Empresariales,MC1101,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.1,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿Tiene el curso requisitos previos?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,5.07,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿Se permite la suficiencia?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.05,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,Sí,5.05,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿El estudio de casos vale un 40% de la nota?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿El estudio de casos vale un 40% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.05,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿Requiere el curso la elaboración de una investigación bibliográfica?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Requiere el curso la elaboración de una investigación bibliográfica?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.09,Gerencia de Tecnología de Información,MC1103,
llama3.1-8b-4bit,binary,¿Es este un curso obligatorio?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es este un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.11,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.09,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.05,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.08,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Se ubica en el segundo semestre del programa?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se ubica en el segundo semestre del programa?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.07,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Los dos exámenes parciales valen un 50% en total?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Los dos exámenes parciales valen un 50% en total?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.03,Administración Financiera de TI,MC1201,
llama3.1-8b-4bit,binary,¿Es un curso obligatorio?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",No,No,5.0,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.03,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿Es requisito para el curso de Administración y Estrategia de Proyectos II?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es requisito para el curso de Administración y Estrategia de Proyectos II?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.07,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿Permite el curso la suficiencia?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Permite el curso la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.1,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de reconocimiento?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de reconocimiento?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.16,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿La resolución de casos prácticos vale un 25%?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿La resolución de casos prácticos vale un 25%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.13,Administración y Estrategia de Proyectos I,MC1203,
llama3.1-8b-4bit,binary,¿Es un curso obligatorio?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.17,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.16,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿Se reprueba el curso con 4 faltas de asistencia injustificadas?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se reprueba el curso con 4 faltas de asistencia injustificadas?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.19,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,5.17,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,5.16,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿La resolución de casos vale un 40% de la nota?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿La resolución de casos vale un 40% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.13,Planificación Estratégica de TI,MC2301,
llama3.1-8b-4bit,binary,¿Es un curso electivo?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,5.12,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.14,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿Se permite la suficiencia?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.1,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.11,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿Tiene requisitos previos?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Tiene requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,5.09,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿El examen final vale el 30%?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿El examen final vale el 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.12,Teoría de Autómatas,MC6003,
llama3.1-8b-4bit,binary,¿Es un curso electivo?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,5.05,Sistemas Operativos Avanzados,MC6004,
llama3.1-8b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.08,Sistemas Operativos Avanzados,MC6004,
llama3.1-8b-4bit,binary,"¿Es requisito para ""Redes de Computadores Avanzadas""?","En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es requisito para ""Redes de Computadores Avanzadas""?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,5.05,Sistemas Operativos Avanzados,MC6004,
llama3.1-8b-4bit,binary,¿Permite el curso la suficiencia?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Permite el curso la suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,5.0,Sistemas Operativos Avanzados,MC6004,
