model_key,context_strategy,category,n_questions,n_errors,f1,n_unparseable,bertscore_f1,rouge_l,meteor
deepseek-r1-14b-4bit,fullcontext,binary,90,0,0.6442687747035574,0.0,,,
deepseek-r1-14b-4bit,fullcontext,open_ended,90,0,,,0.6820975919564565,0.09454381853276794,0.193804220991307
deepseek-r1-14b-4bit,fullcontext,short_answer,90,0,0.1301157471767168,,,,
deepseek-r1-14b-4bit,rag,binary,90,0,0.7285067873303168,0.0,,,
deepseek-r1-14b-4bit,rag,open_ended,90,0,,,0.6928743905491299,0.1082827375656186,0.22006842567727042
deepseek-r1-14b-4bit,rag,short_answer,90,0,0.1323003099922854,,,,
deepseek-r1-14b-8bit,fullcontext,binary,90,0,0.4301589352629539,0.0,,,
deepseek-r1-14b-8bit,fullcontext,open_ended,90,0,,,0.6779069066047668,0.09264280567646765,0.18730212990216463
deepseek-r1-14b-8bit,fullcontext,short_answer,90,0,0.12072058588606617,,,,
deepseek-r1-14b-8bit,rag,binary,90,0,0.7205316109800025,0.0,,,
deepseek-r1-14b-8bit,rag,open_ended,90,0,,,0.6945723440912035,0.11023711289737026,0.22086694222286546
deepseek-r1-14b-8bit,rag,short_answer,90,0,0.12224792245663589,,,,
deepseek-r1-14b-f16,fullcontext,binary,90,0,0.4301589352629539,0.0,,,
deepseek-r1-14b-f16,fullcontext,open_ended,90,0,,,0.6836319943269094,0.10258039931878804,0.2051986894351871
deepseek-r1-14b-f16,fullcontext,short_answer,90,0,0.12324805224974555,,,,
deepseek-r1-14b-f16,rag,binary,90,0,0.7631282115553327,0.0,,,
deepseek-r1-14b-f16,rag,open_ended,90,0,,,0.6925116532378727,0.10679066107591702,0.21312552737171359
deepseek-r1-14b-f16,rag,short_answer,90,0,0.13583763897210746,,,,
llama3.1-8b-4bit,fullcontext,binary,90,0,0.7741381587637036,0.0,,,
llama3.1-8b-4bit,fullcontext,open_ended,90,0,,,0.6901095390319825,0.12602014340845225,0.23442460298687406
llama3.1-8b-4bit,fullcontext,short_answer,90,0,0.32248145048962906,,,,
llama3.1-8b-4bit,rag,binary,90,0,0.6914285714285715,0.0,,,
llama3.1-8b-4bit,rag,open_ended,90,0,,,0.6793982492552864,0.09626334240599993,0.11028894330818849
llama3.1-8b-4bit,rag,short_answer,90,0,0.09593954420401288,,,,
llama3.1-8b-f16,fullcontext,binary,90,0,0.8377403846153846,0.0,,,
llama3.1-8b-f16,fullcontext,open_ended,90,0,,,0.6928036782476638,0.1170936445803416,0.2502763391379185
llama3.1-8b-f16,fullcontext,short_answer,90,0,0.2695257610783386,,,,
llama3.1-8b-f16,rag,binary,90,0,0.7246302906680266,0.0,,,
llama3.1-8b-f16,rag,open_ended,90,0,,,0.6901993254820505,0.11868644359745473,0.22402344873872243
llama3.1-8b-f16,rag,short_answer,90,0,0.10138911277375766,,,,
qwen2.5-3b,fullcontext,binary,90,0,0.5089285714285714,0.0,,,
qwen2.5-3b,fullcontext,open_ended,90,0,,,0.6735800239774916,0.08511271119397432,0.19300191306424277
qwen2.5-3b,fullcontext,short_answer,90,0,0.3396743793689927,,,,
qwen2.5-3b,rag,binary,90,0,0.5430340557275543,0.0,,,
qwen2.5-3b,rag,open_ended,90,0,,,0.6818264484405517,0.08983902825056522,0.19388629448748027
qwen2.5-3b,rag,short_answer,90,0,0.2775017736152927,,,,
