category,Maestría,Curso,Código,Pregunta,Respuesta
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Es la asistencia obligatoria?,Sí
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Tiene el curso requisitos previos?,No
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Es un curso electivo?,No
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Existe la posibilidad de ganar el curso por suficiencia?,Sí
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Es posible el reconocimiento del curso?,Sí
binary,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Los laboratorios representan el 75% de la nota final?,Sí
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Es la asistencia obligatoria?,Sí
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Es este un curso electivo?,No
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Tiene correquisitos establecidos?,No
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?",Sí
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Se permite el reconocimiento del curso?,Sí
binary,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿El examen final tiene un valor del 30%?,Sí
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Es el curso de tipo electivo?,No
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Es la asistencia obligatoria?,Sí
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Se permite el reconocimiento de este curso?,No
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Existe la posibilidad de suficiencia?,Sí
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Se ubica el curso en el primer trimestre del plan de estudios?,Sí
binary,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿El estudio de casos vale un 40% de la calificación?,Sí
binary,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿Es un curso electivo?,No
