category,Maestría,Curso,Código,Pregunta,Respuesta
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Cuántos créditos tiene el curso?,4 créditos
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿En qué trimestre del plan de estudios se ubica?,Tercer trimestre
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Qué porcentaje de la nota final representan los laboratorios?,75%
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Permite el curso la modalidad de suficiencia?,Sí
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Cuál es la vigencia del programa?,2023
short_answer,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Qué porcentaje de la evaluación corresponde a la resolución de casos de estudio?,20%
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿En qué trimestre se imparte esta materia?,Cuarto trimestre
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿De qué curso de Blockchain es requisito esta materia?,MC4001 Blockchain y Ledger Distribuidos
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Qué porcentaje de la nota corresponde al examen final?,30%
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Cuántas horas de clase por semana tiene el curso?,4 horas
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,"¿Quiénes son los autores del ""Handbook of applied cryptography"" incluido en la bibliografía?","Menezes, Van Oorschot y Vanstone"
short_answer,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Qué porcentaje de la calificación representan las tareas?,50%
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Permite este curso la posibilidad de reconocimiento?,No
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Qué porcentaje de la nota final representa el estudio de casos?,40%
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿En qué trimestre se ubica el curso?,Primer trimestre
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Qué porcentaje de la nota corresponde a la investigación bibliográfica?,20%
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Cuál es la vigencia de este programa?,2023
short_answer,Maestría en Ciberseguridad,Políticas y Gobernanza en Ciberseguridad,MC1006,¿Cuántas horas extraclase por semana se requieren?,14 horas
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿En qué área del plan de estudios se ubica este curso?,Área de tópicos electivos profesionalizantes
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿Permite el curso la modalidad de suficiencia?,No
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿Qué porcentaje de la nota valen las tareas programadas?,40%
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿De qué curso de defensa y ataque es requisito esta materia?,MC3006 Defensa y Ataque de Sistemas
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿Qué porcentaje de la nota final corresponde al examen final?,30%
short_answer,Maestría en Ciberseguridad,Seguridad de Software Avanzado,MC3001,¿Cuál es el valor porcentual del reporte de lecturas?,10%
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Es este curso obligatorio o electivo?,Electivo
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Permite la posibilidad de reconocimiento?,No
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Qué porcentaje de la nota final representa la investigación?,40%
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Qué porcentaje de la evaluación corresponde al estudio de casos?,40%
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Qué software específico se menciona en los contenidos para el análisis de datos?,SPSS
short_answer,Maestría en Ciberseguridad,Cibercrimen,MC3010,¿Qué porcentaje de la nota representan las pruebas cortas o comprobaciones?,20%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿En qué año se aprobó y actualizó este programa?,2025
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿Qué porcentaje de la nota final es la investigación en sistema empresarial?,40%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿En qué semestre del programa se ubica este curso?,I semestre
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿Qué porcentaje total suman los dos exámenes parciales?,40%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿Cuántas horas de clase por semana tiene la materia?,3 horas
short_answer,Maestría en Gerencia de Tecnologías de la Información,Sistemas Estratégicos Empresariales,MC1101,¿Quién es el autor de los artículos sobre las cinco fuerzas competitivas citados?,Michael Porter
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿Permite este curso la suficiencia?,No
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿En qué semestre del programa se ubica (indicado como código)?,P4 semestre
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿Qué porcentaje de la evaluación corresponde al estudio de casos?,40%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿Qué porcentaje de la nota es la investigación bibliográfica y exposición?,20%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿Cuántas horas extraclase se requieren semanalmente?,9 horas
short_answer,Maestría en Gerencia de Tecnologías de la Información,Gerencia de Tecnología de Información,MC1103,¿Es posible el reconocimiento del curso?,No
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿Permite este curso la posibilidad de reconocimiento?,Sí
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿En qué semestre se ubica la materia?,2do semestre
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿Qué porcentaje total de la nota suman los dos exámenes parciales?,50%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿Qué porcentaje de la evaluación corresponde a la investigación bibliográfica?,20%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿Qué porcentaje de la nota representan las comprobaciones de lectura?,15%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración Financiera de TI,MC1201,¿Permite el curso la suficiencia?,No
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿De qué curso de nivel II es requisito esta materia?,MC-6204 Administración y estrategia de proyectos II
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿Cuál es el tipo de curso según los datos generales?,Teórico
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿En qué semestre del programa se ubica?,3er semestre
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿Qué porcentaje de la nota final corresponde a la escritura de dos ensayos individuales?,30%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿Qué porcentaje de la evaluación es la resolución de casos prácticos?,25%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Administración y Estrategia de Proyectos I,MC1203,¿Qué porcentaje de la nota vale la investigación sobre un tema seleccionado?,25%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,¿Con cuántas faltas de asistencia injustificadas se reprueba el curso?,4 faltas
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,¿Qué porcentaje de la nota final representa la resolución de casos?,40%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,¿Cuántos minutos después de la hora oficial de entrada se consideran para marcar ausencia?,30 minutos
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,¿Qué porcentaje de la evaluación corresponde a la investigación bibliográfica?,20%
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,¿Permite el curso la suficiencia?,No
short_answer,Maestría en Gerencia de Tecnologías de la Información,Planificación Estratégica de TI,MC2301,"¿Qué porcentaje de la nota representan las pruebas cortas, comprobaciones y ensayos?",40%
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿En qué periodo del plan de estudios se ubica?,II Periodo
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿Quién es el profesor titular del curso?,Erick Mata Montero
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿Qué porcentaje de la nota final representa el examen final?,30%
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿Cuál es el porcentaje asignado al examen parcial?,20%
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿Permite el curso la modalidad de suficiencia?,Sí
short_answer,Maestría en Computación,Teoría de Autómatas,MC6003,¿Quiénes son los autores principales del libro de texto base?,Hopcroft et al.
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿De qué curso de redes es requisito esta materia?,MC-6006 Redes de Computadores Avanzadas
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿Cuál es la duración mínima exigida para la presentación oral?,16 minutos
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿En qué formato deben confeccionarse los reportes de proyectos y el paper?,IEEE Transactions
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿En qué idioma debe estar escrito el paper de investigación?,Inglés
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿Qué porcentaje total de la nota suman los tres proyectos programados?,30%
short_answer,Maestría en Computación,Sistemas Operativos Avanzados,MC6004,¿Quién es el profesor titular del curso?,Dr. Francisco J. Torres-Rojas
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿En qué periodo del plan de estudios se imparte?,I Periodo
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿En qué horario se dictan las clases los martes?,6:00 p. m. a 8:50 p. m.
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿Quién es el profesor del curso?,José E. Araya
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿Qué porcentaje de la nota final representan las tareas e investigaciones?,50%
