category,Maestría,Curso,Código,Pregunta,Respuesta
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Cuál es el propósito principal de integrar inteligencia artificial en un Centro de Operaciones en Seguridad (SOC)?,Facilitar la distinción de vectores de ataque y permitir una toma de decisiones más precisa en la respuesta a incidentes.
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Qué temas matemáticos específicos debe dominar el estudiante para tener un buen desempeño?,"Conceptos de estadística y cálculo diferencial integral, como distribuciones de probabilidad, regresiones y optimización."
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Cómo contribuye este curso a la perfilación del comportamiento humano y de software?,"Provee técnicas de detección de anomalías, minería de datos en tiempo real y procesamiento distribuido para analizar grandes volúmenes de datos."
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Qué capacidades desarrolla el estudiante respecto al diagnóstico de software?,La capacidad de desarrollar soluciones para el descubrimiento de conocimiento y análisis de amenazas mediante herramientas de análisis de datos.
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿En qué consiste la metodología de evaluación práctica del curso?,Se basa principalmente en laboratorios (75% de la nota) y la resolución de casos de estudio (20%).
open_ended,Maestría en Ciberseguridad,Análisis de Datos en Ciberseguridad,MC1001,¿Qué técnicas de minería de datos se aplican específicamente para el procesamiento en tiempo real?,"Se estudian los filtros de Bloom, hashes localmente sensibles y árboles de Hoeffding."
open_ended,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Qué rol desempeña la criptografía en la infraestructura de Internet actual?,"Actúa como el medio para asegurar la confidencialidad, autenticidad e integridad de las comunicaciones y los datos almacenados."
open_ended,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Qué aspectos avanzados de la matemática se exploran para entender los cifrados modernos?,"El estudio de curvas elípticas, ataques diferenciales y lineales, y el protocolo Diffie-Hellman."
open_ended,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Qué diferencias conceptuales se analizan entre las primitivas de criptografía simétrica y asimétrica?,"Se estudia el rol de las funciones hash, las firmas digitales y la infraestructura de llave pública y privada (PKI)."
open_ended,Maestría en Ciberseguridad,Seguridad y Criptografía,MC1003,¿Sobre qué tendencias futuras en el campo de la seguridad se discute en clase?,Sobre los avances y desafíos que presenta la criptografía cuántica.
