model_key,category,question,composed_question,expected_answer,predicted_answer,retrieved_sources,generation_time_s,curso,codigo,error
deepseek-r1-14b-f16,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,1.57,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt,0.9,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,0.91,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.96,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.91,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,"No.

Step-by-step explanation:

1. **Identify the relevant course**: The question is about the course ""Análisis de Datos en Ciberseguridad"" (MC1001).

2. **Review the provided context**: Look through the context for MC1001 to find information about evaluation components.

3. **Locate the evaluation section**: In the MC1001 context, under ""Evaluación"", it states:
   - Tareas 50%
   - Laboratorios

4. **Determine the weight of labs**: The context does not specify the exact percentage for laboratorios, only that they are one of the components along with tareas.

5. **Compare with the question**: The question asks if laboratorios represent 75% of the final grade. Since the context does not provide the exact percentage and only mentions two components without their exact weights, we cannot confirm that labs make up 75%.

6. **Conclusion**: Without explicit information, the answer is ""No.""
</think>

No.",MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,10.71,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-f16,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.98,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.92,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.92,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.95,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,¿Se permite el reconocimiento del curso?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1003-Seguridad y Criptografía.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt,0.95,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,¿El examen final tiene un valor del 30%?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿El examen final tiene un valor del 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.93,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-f16,binary,¿Es el curso de tipo electivo?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.91,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-f16,binary,¿Es la asistencia obligatoria?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt,0.98,Políticas y Gobernanza en Ciberseguridad,MC1006,
